"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"3171","79103-1","Turtle Lair Attack",2013,"Teenage Mutant Ninja Turtles","Licensed","TV Series",843,488,"38 x 26 x 7 cm",6916,5,6,"Box","Retail",1006,72.34,46,49.99,22.35,44.71,5
"3172","7971-1","Bad",2010,"Racers","Racing","Power Racers",260.8,72,"26 x 14 x 7 cm",2548,0,6,"Box","Retail",166,14.98,5,12.99,1.99,15.32,8
"3173","7780-1","The Batboat: Hunt for Killer Croc",2006,"Batman","Licensed","no subtheme",456,188,"28.5 x 28.5 x 5.8 cm",4711.05,2,2,"Box","Retail",1662,167.88,12,20,147.88,739.4,12
"3174","75043-1","AT-AP",2014,"Star Wars","Licensed","Episode III",941,717,"48 x 28.2 x 6.1 cm",8256.96,5,4,"Box","Retail",2630,71.88,66,59.99,11.89,19.82,4
"3175","75144-1","Snowspeeder",2017,"Star Wars","Licensed","Ultimate Collector Series",2530,1703,"58 x 37.3 x 8.3 cm",17956.22,2,2,"Box","LEGO exclusive",3530,195.49,75,199.99,-4.5,-2.25,1
"3176","76063-1","Mighty Micros: The Flash vs. Captain Cold",2016,"DC Comics Super Heroes","Licensed","Mighty Micros",84,88,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",743,11.11,61,9.99,1.12,11.21,2
"3177","7571-1","The Fight for the Dagger",2010,"Prince of Persia","Licensed","no subtheme",466,258,"38 x 26 x 5.3 cm",5236.4,4,4,"Box","Retail",1121,37.81,53,29.99,7.82,26.08,8
"3178","7678-1","Droid Gunship",2008,"Star Wars","Licensed","The Clone Wars",567,329,"38.2 x 28.7 x 5.8 cm",6358.772,3,1,"Box","Retail",2864,62.77,12,29.99,32.78,109.3,10
"3179","79104-1","The Shellraiser Street Chase",2013,"Teenage Mutant Ninja Turtles","Licensed","TV Series",1018,620,"47.5 x 27.7 x 5.7 cm",7499.775,5,4,"Box","Retail",999,44.92,6,59.99,-15.07,-25.12,5
"3180","7781-1","The Batmobile: Two-Face's Escape",2006,"Batman","Licensed","no subtheme",691,386,"38.4 x 28.5 x 5.9 cm",6456.96,3,2,"Box","Retail",1944,214.17,10,29.99,184.18,614.14,12
"3181","75044-1","Droid Tri-Fighter",2014,"Star Wars","Licensed","Episode III",364,262,"22 x 26 x 6 cm",3432,4,2,"Box","Retail",2110,42.34,30,29.99,12.35,41.18,4
"3182","75145-1","Eclipse Fighter",2016,"Star Wars","Licensed","Original Content",480,363,"35.5 x 19 x 5.5 cm",3709.75,2,2,"Box","Retail",1178,23.28,126,29.99,-6.71,-22.37,2
"3183","7976-1","Ocean Speeder",2011,"Atlantis","Action/Adventure","no subtheme",58,54,"12.1 x 8.9 x 4.5 cm",484.605,1,2,"Box","Retail",636,6.05,18,4.99,1.06,21.24,7
"3184","76064-1","Mighty Micros: Spider-Man vs. Green Goblin",2016,"Marvel Super Heroes","Licensed","Mighty Micros",85,85,"12 x 14 x 4.3 cm",722.4,2,6,"Box","Retail",703,8.78,85,9.99,-1.21,-12.11,2
"3185","7572-1","Quest Against Time",2010,"Prince of Persia","Licensed","no subtheme",1000,506,"47.8 x 28 x 5.7 cm",7628.88,4,7,"Box","Retail",1001,46.74,80,49.99,-3.25,-6.5,8
"3186","7679-1","Republic Fighter Tank",2008,"Star Wars","Licensed","The Clone Wars",900,592,"47.8 x 28.7 x 7 cm",9603.02,2,1,"Box","{Not specified}",4085,161.92,15,49.99,111.93,223.9,10
"3187","7782-1","The Batwing: The Joker's Aerial Assault",2006,"Batman","Licensed","no subtheme",999,523,"47.7 x 28.5 x 7 cm",9516.15,3,2,"Box","Retail",1595,188.5,29,50,138.5,277,12
"3188","75045-1","Republic AV-7 Anti-Vehicle Cannon",2014,"Star Wars","Licensed","The Clone Wars",590,434,"28 x 26 x 7.5 cm",5460,4,2,"Box","Retail",2457,59.24,29,39.99,19.25,48.14,4
"3189","7235-1","Police Motorcycle",2005,"City","Modern day","Police",50,28,"14.4 x 9.6 x 4.8 cm",663.552,1,4,"Box","Retail",1010,8.58,30,3.99,4.59,115.04,13
"3190","75146-1","Star Wars Advent Calendar",2016,"Star Wars","Licensed","Seasonal",409,282,"38 x 26 x 7 cm",6916,10,0,"Box","Retail",1151,28.12,143,39.99,-11.87,-29.68,2
"3191","7977-1","Seabed Strider",2011,"Atlantis","Action/Adventure","no subtheme",119,105,"19 x 14 x 4.5 cm",1197,2,2,"Box","Retail",743,13.65,20,9.99,3.66,36.64,7
"3192","7680-1","The Twilight",2008,"Star Wars","Licensed","The Clone Wars",1785,882,"57 x 38.2 x 9.1 cm",19814.34,4,2,"Box","{Not specified}",3197,124.88,33,99.99,24.89,24.89,10
"3193","7573-1","Battle of Alamut",2010,"Prince of Persia","Licensed","no subtheme",1567.5,821,"47.5 x 37.2 x 6.6 cm",11662.2,7,4,"Box","Retail",1415,101.35,48,79.99,21.36,26.7,8
"3194","76065-1","Mighty Micros: Captain America vs. Red Skull",2016,"Marvel Super Heroes","Licensed","Mighty Micros",93,95,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",694,9,68,9.99,-0.99,-9.91,2
"3195","7783-1","The Batcave: The Penguin and Mr. Freeze's Invasion",2006,"Batman","Licensed","no subtheme",2323,1071,"57.6 x 38.4 x 9.6 cm",21233.664,7,4,"Box","Retail",2342,388.75,17,89.99,298.76,331.99,12
"3196","75046-1","Coruscant Police Gunship",2014,"Star Wars","Licensed","The Clone Wars",798,481,"38 x 26.5 x 7 cm",7049,4,4,"Box","Retail",2543,84.73,32,49.99,34.74,69.49,4
"3197","7978-1","Angler Attack",2011,"Atlantis","Action/Adventure","no subtheme",306,200,"27.9 x 25.8 x 4.4 cm",3167.208,2,2,"Box","Retail",1047,42.35,15,19.99,22.36,111.86,7
"3198","75147-1","StarScavenger",2016,"Star Wars","Licensed","Original Content",785,558,"38 x 26.5 x 5.5 cm",5538.5,4,2,"Box","Retail",1064,32.03,104,49.99,-17.96,-35.93,2
"3199","7681-1","Separatist Spider Droid",2008,"Star Wars","Licensed","The Clone Wars",333,206,"28.5 x 28.5 x 5.8 cm",4711.05,5,1,"Box","{Not specified}",2669,68.75,17,29.99,38.76,129.24,10
"3200","79105-1","Baxter Robot Rampage",2013,"Teenage Mutant Ninja Turtles","Licensed","TV Series",553,397,"28.2 x 26.1 x 6.4 cm",4710.528,5,4,"Box","Retail - limited",883,42.33,46,39.99,2.34,5.85,5
"3201","76066-1","Mighty Micros: Hulk vs. Ultron",2016,"Marvel Super Heroes","Licensed","Mighty Micros",86,80,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",697,8.82,89,9.99,-1.17,-11.71,2
"3202","7784-1","The Batmobile: Ultimate Collectors' Edition",2006,"Batman","Licensed","no subtheme",1987,1045,"47.7 x 38 x 9.3 cm",16857.18,0,4,"Box","Retail",2161,419.47,18,70,349.47,499.24,12
"3203","75048-1","The Phantom",2014,"Star Wars","Licensed","Rebels",308,234,"26 x 19 x 4.5 cm",2223,2,2,"Box","Retail",1837,49.22,36,24.99,24.23,96.96,4
"3204","7979-1","Castle Advent Calendar",2008,"Castle","Historical","Seasonal",414,176,"38 x 28.4 x 6.9 cm",7446.48,9,0,"Box","Retail - limited",1226,60.35,21,30,30.35,101.17,10
"3205","7236-1","Police Car",2005,"City","Modern day","Police",93,59,"19 x 9.5 x 4.7 cm",848.35,1,2,"Box","Retail",897,16.42,9,5.99,10.43,174.12,13
"3206","75148-1","Encounter on Jakku",2016,"Star Wars","Licensed","The Force Awakens",696,530,"37.5 x 26 x 5.5 cm",5362.5,4,2,"Box","Retail",1799,32.57,225,59.99,-27.42,-45.71,2
"3207","7682-1","Shanghai Chase",2009,"Indiana Jones","Licensed","Temple of Doom",466,244,"38.2 x 26 x 5.6 cm",5561.92,5,1,"Box","Retail",2449,120.45,20,29.99,90.46,301.63,9
"3208","79106-1","Cavalry Builder Set",2013,"The Lone Ranger","Licensed","no subtheme",115,69,"15.5 x 14 x 4.3 cm",933.1,4,2,"Box","{Not specified}",1231,20.49,68,12.99,7.5,57.74,5
"3209","76067-1","Tanker Truck Takedown",2016,"Marvel Super Heroes","Licensed","Captain America: Civil War",503,330,"35 x 19.5 x 6 cm",4095,4,4,"Box","Retail - limited",1429,25.8,56,29.99,-4.19,-13.97,2
"3210","8064-1","Universal Motor Set",1990,"Technic","Technical","Universal",767,219,"33.4 x 28.5 x 4.8 cm",4569.12,0,0,"Box","Retail",193,62.06,3,55,7.06,12.84,28
"3211","7785-1","Arkham Asylum",2006,"Batman","Licensed","no subtheme",1590,860,"47.5 x 38 x 6.8 cm",12274,7,6,"Box","Retail",2240,424.58,16,79.99,344.59,430.79,12
"3212","75049-1","Snowspeeder",2014,"Star Wars","Licensed","Episode V",409,278,"22 x 26 x 6.5 cm",3718,3,2,"Box","Retail",2987,60.1,33,29.99,30.11,100.4,4
"3213","7236-2","Police Car",2008,"City","Modern day","Police",94,59,"19 x 9.5 x 4.7 cm",848.35,1,0,"Box","Retail",228,12.06,9,6.68,5.38,80.54,10
"3214","75149-1","Resistance X-wing Fighter",2016,"Star Wars","Licensed","The Force Awakens",1081,740,"54 x 28.2 x 7.8 cm",11877.84,4,3,"Box","Retail",2696,61.76,127,79.99,-18.23,-22.79,2
"3215","76068-1","Mighty Micros: Superman vs. Bizarro",2017,"DC Comics Super Heroes","Licensed","Mighty Micros",94,93,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",724,8.41,67,9.99,-1.58,-15.82,1
"3216","7683-1","Fight on the Flying Wing",2009,"Indiana Jones","Licensed","Raiders of the Lost Ark",838,376,"48 x 28.1 x 7.3 cm",9846.24,4,1,"Box","Retail",2531,156.78,17,49.99,106.79,213.62,9
"3217","79107-1","Comanche Camp",2013,"The Lone Ranger","Licensed","no subtheme",272,161,"26 x 19 x 4.5 cm",2223,3,2,"Box","{Not specified}",1199,23.66,105,19.99,3.67,18.36,5
"3218","8065-1","Mini Container Truck",2011,"Technic","Technical","no subtheme",177,119,"19.1 x 14.1 x 4.6 cm",1238.826,0,3,"Box","Retail",440,17.16,6,10.99,6.17,56.14,7
"3219","75050-1","B-Wing",2014,"Star Wars","Licensed","Episode VI",765,448,"38 x 26 x 7 cm",6916,3,2,"Box","Retail",2958,62.52,69,49.99,12.53,25.07,4
"3220","7786-1","The Batcopter: The Chase for Scarecrow",2007,"Batman","Licensed","no subtheme",552,293,"38 x 28.5 x 4.7 cm",5090.1,2,1,"Box","Retail",1724,222.78,12,29.99,192.79,642.85,11
"3221","75150-1","Vader's TIE Advanced vs. A-wing Starfighter",2016,"Star Wars","Licensed","Rebels",1097,702,"53.7 x 27.9 x 7.6 cm",11386.548,4,4,"Box","Retail",2508,73.69,177,89.99,-16.3,-18.11,2
"3222","7237-1","Police Station",2005,"City","Modern day","Police",2240,586,"57 x 38 x 11.2 cm",24259.2,5,10,"Box","Retail",1453,163.13,6,69.99,93.14,133.08,13
"3223","7684-1","Pig Farm & Tractor",2010,"City","Modern day","Farm",562,256,"38 x 26 x 6.8 cm",6718.4,2,4,"Box","Retail",2636,83.24,20,34.99,48.25,137.9,8
"3224","79108-1","Stagecoach Escape",2013,"The Lone Ranger","Licensed","no subtheme",457,279,"35 x 19 x 5.5 cm",3657.5,5,2,"Box","{Not specified}",1627,50.72,60,29.99,20.73,69.12,5
"3225","76069-1","Mighty Micros: Batman vs. Killer Moth",2017,"DC Comics Super Heroes","Licensed","Mighty Micros",92,83,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",680,8.19,72,9.99,-1.8,-18.02,1
"3226","7787-1","The Bat-Tank: The Riddler and Bane's Hideout",2007,"Batman","Licensed","no subtheme",866,645,"47.7 x 28.5 x 6 cm",8156.7,3,1,"Box","Retail",1976,346.79,14,49.99,296.8,593.72,11
"3227","75051-1","Jedi Scout Fighter",2014,"Star Wars","Licensed","Original Content",938,490,"48 x 28.2 x 6.1 cm",8256.96,4,2,"Box","Retail",2281,77.39,46,59.99,17.4,29,4
"3228","75151-1","Clone Turbo Tank",2016,"Star Wars","Licensed","Episode III",1423,903,"47.5 x 37.3 x 6.5 cm",11516.375,6,3,"Box","Retail",1825,85.1,141,109.99,-24.89,-22.63,2
"3229","8066-1","Off-Roader",2011,"Technic","Technical","no subtheme",277,141,"26.2 x 19.1 x 4.6 cm",2301.932,0,2,"Box","Retail",502,29.06,11,19.99,9.07,45.37,7
"3230","7685-1","Dozer",2009,"City","Modern day","Construction",806,352,"47.7 x 27.8 x 7 cm",9282.42,1,2,"Box","Retail",2094,58.85,31,39.99,18.86,47.16,9
"3231","79109-1","Colby City Showdown",2013,"The Lone Ranger","Licensed","no subtheme",873,587,"38 x 26 x 7 cm",6916,5,4,"Box","{Not specified}",1359,51.37,85,49.99,1.38,2.76,5
"3232","76070-1","Mighty Micros: Wonder Woman vs. Doomsday",2017,"DC Comics Super Heroes","Licensed","Mighty Micros",84,85,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",676,7.7,90,9.99,-2.29,-22.92,1
"3233","7789-1","Lotso's Dump Truck",2010,"Toy Story","Licensed","Toy Story 3",314,129,"26 x 19 x 6 cm",2964,1,3,"Box","Retail",730,24.84,52,19.99,4.85,24.26,8
"3234","75052-1","Mos Eisley Cantina",2014,"Star Wars","Licensed","Episode IV",991,615,"54 x 27.5 x 5.5 cm",8167.5,8,4,"Box","Retail",4048,95.22,116,69.99,25.23,36.05,4
"3235","75152-1","Imperial Assault Hovertank",2016,"Star Wars","Licensed","Rogue One",545,385,"35 x 19 x 6.8 cm",4522,3,3,"Box","Retail",1499,28.18,98,29.99,-1.81,-6.04,2
"3236","8067-1","Mini Mobile Crane",2011,"Technic","Technical","no subtheme",481,292,"28.2 x 26.2 x 4.6 cm",3398.664,0,2,"Box","Retail",600,52.91,5,24.99,27.92,111.72,7
"3237","7686-1","Helicopter Transporter",2009,"City","Modern day","Traffic",683,377,"47.8 x 28 x 7 cm",9368.8,3,3,"Box","Retail",1961,56.13,16,39.99,16.14,40.36,9
"3238","76071-1","Mighty Micros: Spider-Man vs. Scorpion",2017,"Marvel Super Heroes","Licensed","Mighty Micros",85,79,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",733,7.37,47,9.99,-2.62,-26.23,1
"3239","75053-1","The Ghost",2014,"Star Wars","Licensed","Rebels",1514,929,"54 x 28 x 8.5 cm",12852,4,4,"Box","Retail",2766,177.26,17,89.99,87.27,96.98,4
"3240","75153-1","AT-ST Walker",2016,"Star Wars","Licensed","Rogue One",624,449,"28 x 26 x 6 cm",4368,3,3,"Box","Retail",1924,41.64,102,39.99,1.65,4.13,2
"3241","7239-1","Fire Truck",2005,"City","Modern day","Fire",445,214,"38.3 x 19 x 7 cm",5093.9,2,8,"Box","Retail",1293,35.32,18,22.99,12.33,53.63,13
"3242","8068-1","Rescue Helicopter",2011,"Technic","Technical","no subtheme",655,408,"38 x 26 x 4.5 cm",4446,0,2,"Box","Retail",651,64.17,20,39.99,24.18,60.47,7
"3243","7687-1","City Advent Calendar",2009,"City","Modern day","Seasonal",394,257,"37.9 x 25.7 x 6.7 cm",6526.001,9,0,"Box","Retail - limited",853,35.3,28,29.99,5.31,17.71,9
"3244","79110-1","Silver Mine Shootout",2013,"The Lone Ranger","Licensed","no subtheme",1284,644,"35 x 37.5 x 9 cm",11812.5,5,6,"Box","{Not specified}",1514,64.13,102,69.99,-5.86,-8.37,5
"3245","7868-1","Mace Windu's Jedi Starfighter",2011,"Star Wars","Licensed","The Clone Wars",476,313,"38 x 25.9 x 4.6 cm",4527.32,5,2,"Box","Retail",3174,90.58,13,39.99,50.59,126.51,7
"3246","76072-1","Mighty Micros: Iron Man vs. Thanos",2017,"Marvel Super Heroes","Licensed","Mighty Micros",87,94,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",857,7.73,58,9.99,-2.26,-22.62,1
"3247","75054-1","AT-AT",2014,"Star Wars","Licensed","Episode V",1661,1138,"48 x 37.7 x 7 cm",12667.2,5,4,"Box","Retail",5125,197.54,41,109.99,87.55,79.6,4
"3248","75154-1","TIE Striker",2016,"Star Wars","Licensed","Rogue One",1320,543,"48 x 28.2 x 6.1 cm",8256.96,4,3,"Box","Retail",1809,47.92,157,69.99,-22.07,-31.53,2
"3249","8168-1","Ferrari Victory",2009,"Racers","Racing","Ferrari",355,202,"28 x 26 x 6 cm",4368,3,1,"Box","Retail",503,66.26,8,19.99,46.27,231.47,9
"3250","8069-1","Backhoe Loader",2011,"Technic","Technical","no subtheme",1040,609,"47.9 x 28.2 x 7.4 cm",9995.772,0,2,"Box","Retail",1131,76.02,23,59.99,16.03,26.72,7
"3251","79111-1","Constitution Train Chase",2013,"The Lone Ranger","Licensed","no subtheme",1528,699,"53.7 x 27.9 x 8.9 cm",13334.247,7,4,"Box","{Not specified}",1956,136.62,70,99.99,36.63,36.63,5
"3252","7869-1","Battle for Geonosis",2011,"Star Wars","Licensed","The Clone Wars",555,331,"38 x 25.9 x 5.6 cm",5511.52,5,4,"Box","Retail",2750,66.99,25,39.99,27,67.52,7
"3253","75055-1","Imperial Star Destroyer",2014,"Star Wars","Licensed","Episode IV",2610,1359,"59 x 37.5 x 10 cm",22125,7,6,"Box","Retail",4847,225.77,56,129.99,95.78,73.68,4
"3254","75155-1","Rebel U-wing Fighter",2016,"Star Wars","Licensed","Rogue One",1179,659,"54 x 28.2 x 5.9 cm",8984.52,5,3,"Box","Retail",1812,53.15,150,79.99,-26.84,-33.55,2
"3255","76073-1","Mighty Micros: Wolverine vs. Magneto",2017,"Marvel Super Heroes","Licensed","Mighty Micros",88,85,"12 x 14 x 4.5 cm",756,2,6,"Box","Retail",800,8.36,94,9.99,-1.63,-16.32,1
"3256","8070-1","Super Car",2011,"Technic","Technical","no subtheme",1950,1281,"58.2 x 37.8 x 8.7 cm",19139.652,0,3,"Box","Retail",1957,209.34,28,119.99,89.35,74.46,7
"3257","8169-1","Lamborghini Gallardo LP 560-4",2009,"Racers","Racing","Lamborghini",1293,741,"35 x 37.3 x 6.5 cm",8485.75,0,2,"Box","Retail",1033,216,7,59.99,156.01,260.06,9
"3258","79115-1","Turtle Van Takedown",2014,"Teenage Mutant Ninja Turtles","Licensed","Movie",643,368,"38 x 26 x 5.5 cm",5434,4,4,"Box","Retail",735,50.63,22,39.99,10.64,26.61,4
"3259","75056-1","Star Wars Advent Calendar",2014,"Star Wars","Licensed","Seasonal",386,274,"38 x 26 x 7 cm",6916,9,0,"Box","Retail - limited",1648,73.35,22,39.99,33.36,83.42,4
"3260","75156-1","Krennic's Imperial Shuttle",2016,"Star Wars","Licensed","Rogue One",1426,863,"48 x 37.5 x 6.5 cm",11700,6,3,"Box","Retail",1987,64.07,154,89.99,-25.92,-28.8,2
"3261","818-1","Pull-Back Motor, Red",1990,"Basic","Basic","Supplementaries",82,8,"14.2 x 9.5 x 4.6 cm",620.54,0,0,"Box","Retail",56,5.75,4,12.25,-6.5,-53.06,28
"3262","8071-1","Bucket Truck",2011,"Technic","Technical","no subtheme",920,593,"38 x 26 x 7 cm",6916,0,4,"Box","Retail",757,84,14,49.99,34.01,68.03,7
"3263","79116-1","Big Rig Snow Getaway",2014,"Teenage Mutant Ninja Turtles","Licensed","Movie",1215,741,"53.5 x 28 x 7.5 cm",11235,6,6,"Box","Retail",775,72.78,50,69.99,2.79000000000001,3.99,4
"3264","75157-1","Captain Rex's AT-TE",2016,"Star Wars","Licensed","Rebels",1580,972,"47.5 x 37.5 x 6.5 cm",11578.125,5,2,"Box","Retail",1902,70.57,154,119.99,-49.42,-41.19,2
"3265","8182-1","Monster Crushers",2009,"Racers","Racing","Tiny Turbos",667,388,"47.5 x 28 x 7 cm",9310,0,1,"Box","Retail",275,49.9,3,39.99,9.91,24.78,9
"3266","8072-1","Sea Jet",2010,"Atlantis","Action/Adventure","no subtheme",28,23,"9.2 x 3.9 x 8.9 cm",319.332,1,2,"Box","Retail",741,4.54,36,3.99,0.55,13.78,8
"3267","79117-1","Turtle Lair Invasion",2014,"Teenage Mutant Ninja Turtles","Licensed","Movie",1710,888,"48 x 37.5 x 9 cm",16200,6,4,"Box","Retail",770,88.28,50,99.99,-11.71,-11.71,4
"3268","76076-1","Captain America Jet Pursuit",2017,"Marvel Super Heroes","Licensed","Comics",338,160,"28 x 18.5 x 6 cm",3108,3,5,"Box","Retail",869,15.73,77,19.99,-4.26,-21.31,1
"3269","75158-1","Rebel Combat Frigate",2016,"Star Wars","Licensed","Rebels",1465,936,"48 x 37.5 x 8 cm",14400,5,2,"Box","Retail - limited",1764,101.6,87,109.99,-8.39,-7.63,2
"3270","8073-1","Manta Warrior",2010,"Atlantis","Action/Adventure","no subtheme",26,13,"9.37 x 9.05 x 3.97 cm",336.650045,1,2,"Box","Retail",785,4.24,65,3.99,0.25,6.27,8
"3271","79118-1","Karai Bike Escape",2014,"Teenage Mutant Ninja Turtles","Licensed","TV Series",114,88,"15.5 x 14 x 6 cm",1302,2,2,"Box","Retail",633,19.65,11,12.99,6.66,51.27,4
"3272","7802-1","Le Mans Racer",2009,"Racers","Racing","Tiny Turbos",24,29,"14 x 14 x 1 cm",196,0,4,"Polybag","Promotional",253,4,20,2.99,1.01,33.78,9
"3273","75159-1","Death Star",2016,"Star Wars","Licensed","Ultimate Collector Series",6350,4016,"58.2 x 48.7 x 18.5 cm",52435.29,27,2,"Box","LEGO exclusive",3938,426.41,61,499.99,-73.58,-14.72,2
"3274","8185-1","Ferrari Truck",2009,"Racers","Racing","Ferrari",1284.2,534,"48 x 37.5 x 9 cm",16200,5,1,"Box","Retail",731,130.85,7,79.99,50.86,63.58,9
"3275","79119-1","Mutation Chamber Unleashed",2014,"Teenage Mutant Ninja Turtles","Licensed","TV Series",398,196,"26 x 19 x 6 cm",2964,3,2,"Box","Retail",637,24.65,30,24.99,-0.34,-1.36,4
"3276","76077-1","Iron Man: Detroit Steel Strikes",2017,"Marvel Super Heroes","Licensed","Comics",467,377,"22 x 26 x 6 cm",3432,3,4,"Box","Retail",1240,22.1,83,29.99,-7.89,-26.31,1
"3277","75160-1","U-wing",2017,"Star Wars","Licensed","MicroFighters",101,109,"14 x 12 x 4.5 cm",756,1,2,"Box","Retail",975,8.1,96,9.99,-1.89,-18.92,1
"3278","8186-1","Street Extreme",2009,"Racers","Racing","Tiny Turbos",1400.5,757,"47.7 x 37.5 x 9 cm",16098.75,0,2,"Box","Retail",419,106.61,6,69.99,36.62,52.32,9
"3279","79120-1","T-Rawket Sky Strike",2014,"Teenage Mutant Ninja Turtles","Licensed","TV Series",462,286,"35 x 19 x 5.5 cm",3657.5,4,4,"Box","Retail",624,29.04,17,34.99,-5.95,-17,4
"3280","8075-1","Neptune Carrier",2010,"Atlantis","Action/Adventure","no subtheme",902,476,"47.8 x 37.2 x 6.7 cm",11913.672,4,5,"Box","Retail",1219,39.91,44,59.99,-20.08,-33.47,8
"3281","8304-1","Smokin' Slickster",2011,"Racers","Racing","Tiny Turbos",93,44,"10.2 x 14.5 x 4.8 cm",709.92,0,1,"Canister","Retail",231,5.31,14,5.99,-0.680000000000001,-11.35,7
"3282","76078-1","Hulk vs. Red Hulk",2017,"Marvel Super Heroes","Licensed","Comics",830,375,"37.6 x 26.1 x 6.6 cm",6476.976,4,5,"Box","Retail",1210,40.33,78,59.99,-19.66,-32.77,1
"3283","75161-1","TIE Striker",2017,"Star Wars","Licensed","MicroFighters",99,88,"14 x 12 x 4.5 cm",756,1,2,"Box","Retail",936,8.43,100,9.99,-1.56,-15.62,1
"3284","8188-1","Fire Blaster",2010,"Power Miners","Action/Adventure","no subtheme",143,67,"18.8 x 14 x 5.9 cm",1552.88,2,2,"Box","Retail",775,28.03,10,9.99,18.04,180.58,8
"3285","8076-1","Deep Sea Striker",2010,"Atlantis","Action/Adventure","no subtheme",345,260,"35.2 x 19 x 5.8 cm",3879.04,1,2,"Box","Retail",903,21.84,23,19.99,1.85,9.25,8
"3286","79121-1","Turtle Sub Undersea Chase",2014,"Teenage Mutant Ninja Turtles","Licensed","TV Series",992,684,"48 x 28 x 6 cm",8064,5,2,"Box","Retail",676,44.45,66,59.99,-15.54,-25.9,4
"3287","75162-1","Y-wing",2017,"Star Wars","Licensed","MicroFighters",89,90,"14 x 12 x 4.5 cm",756,1,2,"Box","Retail",1011,8.91,83,9.99,-1.08,-10.81,1
"3288","8077-1","Atlantis Exploration HQ",2010,"Atlantis","Action/Adventure","no subtheme",924,473,"54 x 28 x 7.6 cm",11491.2,3,6,"Box","Retail",1197,62.35,22,49.99,12.36,24.72,8
"3289","79122-1","Shredder's Lair Rescue",2014,"Teenage Mutant Ninja Turtles","Licensed","no subtheme",760,478,"38 x 26 x 6 cm",5928,5,4,"Box","Retail",669,72.05,25,49.99,22.06,44.13,4
"3290","7877-1","Naboo Starfighter",2011,"Star Wars","Licensed","Episode I",557,318,"38 x 26 x 5.4 cm",5335.2,6,2,"Box","Retail",2515,44.76,55,49.99,-5.23,-10.46,7
"3291","8189-1","Magma Mech",2010,"Power Miners","Action/Adventure","no subtheme",383.9,183,"27.9 x 26.4 x 6.6 cm",4861.296,2,2,"Box","Retail",764,24.81,22,19.99,4.82,24.11,8
"3292","76079-1","Ravager Attack",2017,"Marvel Super Heroes","Licensed","Guardians of the Galaxy Vol. 2",302,197,"26.2 x 19.1 x 6.1 cm",3052.562,3,4,"Box","Retail",871,16.85,100,19.99,-3.14,-15.71,1
"3293","75163-1","Krennic's Imperial Shuttle",2017,"Star Wars","Licensed","MicroFighters",89,78,"14 x 12 x 4.5 cm",756,1,2,"Box","Retail",918,9.2,105,9.99,-0.790000000000001,-7.91,1
"3294","8078-1","Portal of Atlantis",2010,"Atlantis","Action/Adventure","no subtheme",1873,1007,"58 x 48 x 9 cm",25056,7,4,"Box","Retail",1472,91.6,35,99.99,-8.39,-8.39,8
"3295","7879-1","Hoth Echo Base",2011,"Star Wars","Licensed","Episode V",1205,773,"47.5 x 37.9 x 6.8 cm",12241.7,8,4,"Box","Retail",4118,169.01,71,89.99,79.02,87.81,7
"3296","7913-1","Clone Trooper Battle Pack",2011,"Star Wars","Licensed","The Clone Wars",106,85,"19.1 x 14.1 x 4.1 cm",1104.171,4,2,"Box","Retail",2073,31.11,27,12.99,18.12,139.49,7
"3297","76080-1","Ayesha's Revenge",2017,"Marvel Super Heroes","Licensed","Guardians of the Galaxy Vol. 2",538,323,"35.4 x 19.1 x 5.9 cm",3989.226,4,4,"Box","Retail",959,25.49,93,29.99,-4.5,-15.01,1
"3298","8190-1","Claw Catcher",2010,"Power Miners","Action/Adventure","no subtheme",638,259,"38 x 25.8 x 7 cm",6862.8,2,2,"Box","Retail",869,49.01,17,34.99,14.02,40.07,8
"3299","75164-1","Rebel Trooper Battle Pack",2017,"Star Wars","Licensed","Rogue One",122,120,"19 x 14 x 4.5 cm",1197,4,2,"Box","Retail",1373,12.94,98,14.99,-2.05,-13.68,1
"3300","8079-1","Shadow Snapper",2010,"Atlantis","Action/Adventure","no subtheme",428,246,"38 x 26 x 5.5 cm",5434,1,2,"Box","Retail",1073,32.12,18,29.99,2.13,7.1,8
"3301","7914-1","Mandalorian Battle Pack",2011,"Star Wars","Licensed","The Clone Wars",90,68,"19.1 x 14.1 x 4.6 cm",1238.826,4,1,"Box","Retail",2071,24.86,55,12.99,11.87,91.38,7
"3302","8191-1","Lavatraz",2010,"Power Miners","Action/Adventure","no subtheme",982,381,"53.6 x 27.9 x 7.4 cm",11066.256,4,5,"Box","Retail",1035,80.09,6,49.99,30.1,60.21,8
